tasks,trial,algorithm,waiting,turnaround,throughput,runtime
100,18,FIFO,236.53,242.31,0.173,1.9e-05
100,18,RoundRobin,309.21,314.99,0.173,0.000135
100,18,Priority,239.59,245.37,0.173,9.3e-05
100,18,GWO,236.53,242.31,0.173,0.041768
100,19,FIFO,242.72,248.86,0.163,1.9e-05
100,19,RoundRobin,350.7,356.84,0.163,0.000146
100,19,Priority,263.62,269.76,0.163,9.1e-05
100,19,GWO,242.72,248.86,0.163,0.040349
100,20,FIFO,240.49,246.12,0.178,1.9e-05
100,20,RoundRobin,324.24,329.87,0.178,0.000135
100,20,Priority,235.79,241.42,0.178,9e-05
100,20,GWO,240.49,246.12,0.178,0.041399
100,21,FIFO,206.66,212.06,0.185,2e-05
100,21,RoundRobin,275.06,280.46,0.185,0.000132
100,21,Priority,212.13,217.53,0.185,9.3e-05
100,21,GWO,206.66,212.06,0.185,0.040347
100,22,FIFO,197.14,202.21,0.197,2e-05
100,22,RoundRobin,252.03,257.1,0.197,0.000126
100,22,Priority,207.26,212.33,0.197,9e-05
100,22,GWO,197.14,202.21,0.197,0.040522
100,23,FIFO,239.14,244.95,0.172,1.9e-05
100,23,RoundRobin,324.73,330.54,0.172,0.000139
100,23,Priority,224.83,230.64,0.172,8.9e-05
100,23,GWO,239.14,244.95,0.172,0.040173
100,24,FIFO,198.09,203.38,0.189,1.9e-05
100,24,RoundRobin,264.31,269.6,0.189,0.000132
100,24,Priority,208.94,214.23,0.189,0.000114
100,24,GWO,198.09,203.38,0.189,0.044046
100,25,FIFO,221.86,227.12,0.19,2.6e-05
100,25,RoundRobin,274.28,279.54,0.19,0.000189
100,25,Priority,230.47,235.73,0.19,0.000143
100,25,GWO,221.86,227.12,0.19,0.041347
100,26,FIFO,220.01,225.42,0.185,8.3e-05
100,26,RoundRobin,289.05,294.46,0.185,0.000151
100,26,Priority,232.4,237.81,0.185,0.000116
100,26,GWO,220.01,225.42,0.185,0.041916
100,27,FIFO,209.43,214.73,0.189,2e-05
100,27,RoundRobin,275.41,280.71,0.189,0.00015
100,27,Priority,200.95,206.25,0.189,9.7e-05
100,27,GWO,209.43,214.73,0.189,0.042124
100,28,FIFO,205.94,211.33,0.186,2e-05
100,28,RoundRobin,270.23,275.62,0.186,0.00013
100,28,Priority,207.48,212.87,0.186,9.1e-05
100,28,GWO,205.94,211.33,0.186,0.041319
100,29,FIFO,253.9,259.8,0.169,2.4e-05
100,29,RoundRobin,340.93,346.83,0.169,0.000143
100,29,Priority,250.4,256.3,0.169,9.1e-05
100,29,GWO,253.9,259.8,0.169,0.040053
500,0,FIFO,1117.31,1122.91,0.178,6.9e-05
500,0,RoundRobin,1511.85,1517.45,0.178,0.000732
500,0,Priority,1150.76,1156.37,0.178,0.001068
500,0,GWO,1117.31,1122.91,0.178,0.206593
500,1,FIFO,1088.01,1093.31,0.189,0.000143
500,1,RoundRobin,1355.93,1361.23,0.189,0.000707
500,1,Priority,1065.75,1071.05,0.189,0.000469
500,1,GWO,1088.01,1093.31,0.189,0.203726
500,2,FIFO,1082.21,1087.53,0.188,0.000127
500,2,RoundRobin,1381.23,1386.55,0.188,0.00076
500,2,Priority,1097.82,1103.14,0.188,0.000473
500,2,GWO,1082.21,1087.53,0.188,0.199677
500,3,FIFO,1064.75,1070.07,0.188,0.000163
500,3,RoundRobin,1396.42,1401.73,0.188,0.00072
500,3,Priority,1062.11,1067.43,0.188,0.000463
500,3,GWO,1064.75,1070.07,0.188,0.205386
500,4,FIFO,1101.25,1106.65,0.185,9.5e-05
500,4,RoundRobin,1446.77,1452.18,0.185,0.00084
500,4,Priority,1096.76,1102.16,0.185,0.000745
500,4,GWO,1101.25,1106.65,0.185,0.211933
500,5,FIFO,1180.52,1186.2,0.176,0.000122
500,5,RoundRobin,1571.6,1577.29,0.176,0.00075
500,5,Priority,1180.79,1186.48,0.176,0.000472
500,5,GWO,1180.52,1186.2,0.176,0.206187
500,6,FIFO,1061.91,1067.26,0.187,0.000106
500,6,RoundRobin,1370.81,1376.16,0.187,0.000739
500,6,Priority,1050.95,1056.3,0.187,0.000599
500,6,GWO,1061.91,1067.26,0.187,0.202426
500,7,FIFO,1119.81,1125.24,0.184,0.00016
500,7,RoundRobin,1440.7,1446.13,0.184,0.000727
500,7,Priority,1133.69,1139.12,0.184,0.0005
500,7,GWO,1119.81,1125.24,0.184,0.202551
500,8,FIFO,1164.53,1170.24,0.175,9.6e-05
500,8,RoundRobin,1570.65,1576.35,0.175,0.000817
500,8,Priority,1163.3,1169.0,0.175,0.000536
500,8,GWO,1164.53,1170.24,0.175,0.208698
500,9,FIFO,1154.1,1159.71,0.178,0.000115
500,9,RoundRobin,1534.72,1540.33,0.178,0.000753
500,9,Priority,1164.12,1169.73,0.178,0.000531
500,9,GWO,1154.1,1159.71,0.178,0.207796
500,10,FIFO,1050.39,1055.7,0.188,9.9e-05
500,10,RoundRobin,1361.36,1366.67,0.188,0.000733
500,10,Priority,1053.51,1058.82,0.188,0.000542
500,10,GWO,1050.39,1055.7,0.188,0.203868
500,11,FIFO,1135.46,1141.0,0.181,9.8e-05
500,11,RoundRobin,1472.26,1477.8,0.181,0.000747
500,11,Priority,1129.25,1134.79,0.181,0.000526
500,11,GWO,1135.46,1141.0,0.181,0.202766
500,12,FIFO,1167.28,1172.85,0.18,0.0001
500,12,RoundRobin,1520.4,1525.97,0.18,0.000759
500,12,Priority,1168.97,1174.54,0.18,0.000538
500,12,GWO,1167.28,1172.85,0.18,0.210835
500,13,FIFO,1145.46,1151.02,0.18,0.000174
500,13,RoundRobin,1508.84,1514.4,0.18,0.00075
500,13,Priority,1140.59,1146.15,0.18,0.000532
500,13,GWO,1145.46,1151.02,0.18,0.210504
500,14,FIFO,1134.6,1140.04,0.184,9.8e-05
500,14,RoundRobin,1468.98,1474.42,0.184,0.000745
500,14,Priority,1137.14,1142.58,0.184,0.000502
500,14,GWO,1134.6,1140.04,0.184,0.205984
500,15,FIFO,1153.26,1158.94,0.176,0.000213
500,15,RoundRobin,1530.66,1536.34,0.176,0.000748
500,15,Priority,1165.22,1170.9,0.176,0.000475
500,15,GWO,1153.26,1158.94,0.176,0.208393
500,16,FIFO,1096.86,1102.27,0.185,0.000147
500,16,RoundRobin,1437.68,1443.09,0.185,0.000734
500,16,Priority,1125.17,1130.59,0.185,0.000504
500,16,GWO,1096.86,1102.27,0.185,0.208794
500,17,FIFO,1078.5,1083.8,0.188,9.9e-05
500,17,RoundRobin,1387.01,1392.32,0.188,0.000771
500,17,Priority,1105.85,1111.15,0.188,0.000473
500,17,GWO,1078.5,1083.8,0.188,0.212079
500,18,FIFO,1170.32,1175.97,0.177,0.000172
500,18,RoundRobin,1550.54,1556.19,0.177,0.00076
500,18,Priority,1159.75,1165.39,0.177,0.000503
500,18,GWO,1170.32,1175.97,0.177,0.203805
500,19,FIFO,1163.39,1168.93,0.181,9.7e-05
500,19,RoundRobin,1498.36,1503.9,0.181,0.000824
500,19,Priority,1106.53,1112.07,0.181,0.000542
500,19,GWO,1163.39,1168.93,0.181,0.208801
500,20,FIFO,1146.34,1151.88,0.181,0.000106
500,20,RoundRobin,1508.27,1513.8,0.181,0.000741
500,20,Priority,1152.33,1157.86,0.181,0.000558
